"","kommunenummer","navn","Y","expected","SMR","kommunenavn","smoking","re_u","re_v","RR","LL","UL"
"56",1815,"Vega",11,8.42025661314599,1.30637348781347,"Vega",0,56,56,0.95675412467565,0.832931817051908,1.10079628924858
"57",1816,"Vevelstad",0,3.10076524922619,0,"Vevelstad",0,57,57,0.951583619183874,0.84379938317755,1.07090530151575
"58",1818,"HerÃ¸y",13,11.6767791233077,1.11332070793829,"Herøy (Nordland)",4.4,58,58,1.00697897026723,0.881732119128848,1.1466217025396
"59",1820,"Alstahaug",49,46.9081361746413,1.04459490391114,"Alstahaug",4.9,59,59,1.03409335971461,0.897726047917476,1.18564956360009
"60",1822,"Leirfjord",15,14.4251543878192,1.0398502225159,"Leirfjord",7.7,60,60,1.07382761037333,0.962589831731949,1.19428605120236
"61",1824,"Vefsn",95,87.9677395997207,1.07994135614122,"Vefsn",7.8,61,61,1.07495936211741,0.985551992517969,1.16971793587078
"62",1825,"Grane",13,10.7329033983495,1.21122864126394,"Grane",7.9,62,62,1.08182215089208,0.989183563323698,1.18090830965411
"63",1826,"Hattfjelldal",11,9.43587682006657,1.16576341655999,"Hattfjelldal",8.2,63,63,1.08601292306023,0.986796177128805,1.19286064454582
"64",1827,"DÃ¸nna",12,9.27016375476987,1.29447551493635,"Dønna",15.2,64,64,1.17862432934727,1.02321185841195,1.34743990507285
"65",1828,"Nesna",11,11.2954848654584,0.973840444303367,"Nesna",5.2,65,65,1.02121706317806,0.887468991007151,1.16880844524556
"66",1832,"Hemnes",38,30.78743754445,1.23426965771791,"Hemnes",11.5,66,66,1.13663459241439,1.0332733224337,1.24639305224837
"67",1833,"Rana",173,166.228107244526,1.04073855419356,"Rana",6.9,67,67,1.04704119057449,0.965511982560665,1.13277615261749
"68",1834,"LurÃ¸y",18,13.4304105805569,1.34024197488485,"Lurøy",19.7,68,68,1.26958014132808,1.1080755628514,1.44283095950652
"69",1835,"TrÃ¦na",0,2.82088250816825,0,"Træna",0,69,69,0.931362570273836,0.807246785420366,1.06937782067557
"70",1836,"RÃ¸dÃ¸y",10,7.92788684546967,1.26137017277365,"Rødøy",5.8,70,70,1.03407826804824,0.927223822573831,1.15031043665927
"71",1837,"MelÃ¸y",44,41.4190156298592,1.06231399589999,"Meløy",8.4,71,71,1.06853498777147,0.969096220103176,1.17404395812663
"72",1838,"GildeskÃ¥l",15,13.4465322974733,1.11552924338855,"Gildeskål",0,72,72,0.943718020226031,0.84817063151401,1.04849194433034
"73",1839,"Beiarn",6,7.89121354931095,0.760339327089166,"Beiarn",8.8,73,73,1.0696003695487,0.973647949750338,1.17078419226852
"74",1840,"Saltdal",35,30.8573047230224,1.13425330935941,"Saltdal",10.2,74,74,1.09514199558616,0.996166144223845,1.19953783330396
"75",1841,"Fauske",68,63.4234800496583,1.07215813365584,"Fauske Fuosko",7.8,75,75,1.05787956337139,0.960378953985481,1.16140930099719
"76",1845,"SÃ¸rfold",17,13.2565890905507,1.28238115278972,"Sørfold",4.7,76,76,1.01734403924216,0.921932400228524,1.12117693158561
"77",1848,"Steigen",20,18.0939608781432,1.10534117624623,"Steigen",4.1,77,77,1.01284779330068,0.898123645683217,1.14069599166228
"78",1851,"LÃ¸dingen",19,15.2501801236607,1.24588692369092,"Lødingen",5.5,78,78,1.03444171839378,0.93760823821959,1.13902804482047
"79",1853,"Evenes",10,9.54492815561684,1.04767682238817,"Evenes",13.5,79,79,1.16123500799704,1.03351668593037,1.29924160664851
"80",1856,"RÃ¸st",5,3.29863226180013,1.51577975450692,"Røst",0,80,80,0.951799692272691,0.826871289365238,1.09628123042552
"81",1857,"VÃ¦rÃ¸y",5,4.94793814580338,1.01052192906671,"Værøy",27.3,81,81,1.39739210630359,1.17074624841607,1.64310073289995
"82",1859,"Flakstad",11,8.92977152955811,1.23183442752027,"Flakstad",0,82,82,0.946932348456944,0.825480297323655,1.08524747197776
"83",1860,"VestvÃ¥gÃ¸y",70,71.4948396443239,0.979091642812816,"Vestvågøy",5.6,83,83,1.01238862253218,0.897596787543557,1.13553753587333
"84",1865,"VÃ¥gan",60,59.600736117555,1.00669897569147,"Vågan",3.3,84,84,1.00120614323052,0.890556886948049,1.12247079540642
"85",1866,"Hadsel",57,52.473368613336,1.08626530955197,"Hadsel",8.1,85,85,1.07295455729092,0.963320300312118,1.19088524203569
"86",1867,"BÃ¸",25,20.0187412794373,1.24882976661871,"Bø",7.8,86,86,1.07267417186471,0.942164266466673,1.21636655297489
"87",1868,"Ã˜ksnes",32,28.4462540351668,1.12492843382612,"Øksnes",13,87,87,1.15077460527805,1.00899763968858,1.3043081238274
"88",1870,"Sortland",62,64.018589675958,0.968468695012254,"Sortland Suortá",8.4,88,88,1.06997489489051,0.969019014129119,1.17685126317015
"89",1871,"AndÃ¸y",36,33.0354816195149,1.08973740460723,"Andøy",9.9,89,89,1.09692835564285,0.952141128079792,1.25522660903419
"90",1874,"Moskenes",9,7.59977214073412,1.18424603176729,"Moskenes",0,90,90,0.940846226346966,0.819557965977918,1.07741289414747
"91",1875,"HamarÃ¸y",22,19.2529317043668,1.14268311641131,"Hamarøy Hábmer",15,91,91,1.18585930174532,1.06031110800279,1.32009208999898
"92",3001,"Halden",216,195.055893458949,1.10737489736735,"Halden",9.4,92,92,1.09668197364158,1.01465514932308,1.18399926859978
"93",3002,"Moss",338,308.104708213195,1.0970296493039,"Moss",7.6,93,93,1.0743976070995,1.00165811792831,1.15173060139926
"94",3003,"Sarpsborg",398,348.839845264048,1.14092471202291,"Sarpsborg",8,94,94,1.09726625991776,1.03295392553233,1.1658875669991
"95",3004,"Fredrikstad",578,505.564355300073,1.14327680331999,"Fredrikstad",5.8,95,95,1.10863606657168,1.03706994745542,1.18503649041979
"96",3005,"Drammen",628,610.929620320629,1.02794164681426,"Drammen",5,96,96,1.02493269647707,0.96995545627785,1.08218583292771
"97",3006,"Kongsberg",178,171.321192894873,1.03898412678708,"Kongsberg",4.2,97,97,1.03148783435345,0.971871560291091,1.09461463372879
"98",3007,"Ringerike",214,193.102582027451,1.10821925710749,"Ringerike",6.2,98,98,1.01918415108491,0.966328044531975,1.08183141515824
"99",3011,"Hvaler",41,29.8475538530564,1.3736469059357,"Hvaler",6.5,99,99,1.14208653531455,1.00395695521531,1.30509876548097
"100",3012,"Aremark",12,8.85831244684586,1.35465982623731,"Aremark",11.3,100,100,1.11517134709276,1.01463881644099,1.22314228000968
"101",3013,"Marker",30,25.2003239934287,1.19046088486096,"Marker",13.4,101,101,1.12994176245397,1.03659340721423,1.22790646121873
"102",3014,"Indre Ã˜stfold",286,274.59372359772,1.04153873676658,"Indre Østfold",10.7,102,102,1.06648356673898,1.00619978421372,1.12863288078534
"103",3015,"Skiptvet",24,22.2241259911629,1.07990748475523,"Skiptvet",11,103,103,1.10863303607742,1.02219658152038,1.19964337539308
"104",3016,"Rakkestad",57,51.1579224641007,1.11419692697644,"Rakkestad",9.8,104,104,1.08906452700148,1.01201606004384,1.17046059003937
"105",3017,"RÃ¥de",59,48.1069236053985,1.22643469127132,"Råde",6.2,105,105,1.07395445100203,0.992916167020124,1.16247739776285
"106",3018,"VÃ¥ler",35,32.4678600029465,1.07798912514787,"Våler (Viken)",5.4,106,106,1.02804816175367,0.957750428657168,1.1035638243701
"107",3019,"Vestby",96,104.646777731548,0.917371772748418,"Vestby",4,107,107,0.981542967722511,0.913433400057574,1.05343019913488
"108",3020,"Nordre Follo",341,358.51575101808,0.951143705769298,"Nordre Follo",2.7,108,108,0.931935456621611,0.873700583830229,0.995051046983109
"109",3021,"Ã…s",98,118.461011762164,0.827276405478927,"Ås",4.1,109,109,0.95686335568333,0.887186622445259,1.02886086816947
"110",3022,"Frogn",110,100.227545021518,1.09750268727409,"Frogn",4.7,110,110,1.00331713287141,0.919019853474688,1.09429688821927
"111",3023,"Nesodden",112,112.947532977908,0.991610857245611,"Nesodden",3,111,111,0.980893693768427,0.872496809234443,1.09900360775
"112",3024,"BÃ¦rum",739,770.216863861583,0.959470033277286,"Bærum",1.5,112,112,0.945190481174716,0.897547462829375,0.996069444047734
"113",3025,"Asker",543,565.272062918402,0.960599392081371,"Asker",2.7,113,113,0.964316239828725,0.904232824394175,1.02675710857148
"114",3026,"Aurskog-HÃ¸land",111,108.27589298416,1.02515894296285,"Aurskog-Høland",10.1,114,114,1.04886383408875,0.977504055687295,1.12350268642273
"115",3027,"RÃ¦lingen",97,103.460466203766,0.937556185074188,"Rælingen",2.4,115,115,0.914340863618228,0.841578120519626,0.993002510069844
"116",3028,"Enebakk",61,62.5942073671504,0.974531071896167,"Enebakk",8.4,116,116,0.997727543340118,0.929768862751325,1.07261280380814
"117",3029,"LÃ¸renskog",214,238.283139311559,0.898091239767459,"Lørenskog",3.9,117,117,0.921098682000388,0.858325448651025,0.988147707138005
"118",3030,"LillestrÃ¸m",472,503.950600178551,0.936599737817098,"Lillestrøm",4.3,118,118,0.938826441715605,0.891814726680789,0.991164394200141
"119",3031,"Nittedal",127,139.480343338924,0.91052256511444,"Nittedal",3.8,119,119,0.928250917646858,0.865927106637719,0.996782379541195
"120",3032,"Gjerdrum",33,39.4475688912937,0.836553453799362,"Gjerdrum",4.6,120,120,0.937484433115279,0.865242873361351,1.01449287120679
"121",3033,"Ullensaker",175,220.956909161531,0.792009630583969,"Ullensaker",6.4,121,121,0.943924800966604,0.880440325153246,1.00639166445154
"122",3034,"Nes",124,133.280837875854,0.930366300034074,"Nes",7.4,122,122,0.995803548432278,0.933831204508056,1.06067905102216
"123",3035,"Eidsvoll",138,146.294794018084,0.943300825748739,"Eidsvoll",9.8,123,123,1.03086361300567,0.965828225356191,1.09725040164603
"124",3036,"Nannestad",71,78.2789479562327,0.907012700780004,"Nannestad",6.3,124,124,0.973232088045935,0.910687712720841,1.04063325162257
"125",3037,"Hurdal",21,18.4010997308208,1.14123613844809,"Hurdal",10.7,125,125,1.06093807969093,0.982249767778039,1.14399587530399
"126",3038,"Hole",42,40.7672700488165,1.03023822663885,"Hole",1.3,126,126,0.953109214776834,0.884340730103238,1.02898858429784
"127",3039,"FlÃ¥",10,7.535679940412,1.32702026613053,"Flå",0,127,127,0.947993502806643,0.880841077373814,1.02329090493825
"128",3040,"Nesbyen",26,22.5421409638078,1.1533953248604,"Nesbyen",8.5,128,128,1.07770969569535,1.00064812363481,1.16007905507634
"129",3041,"Gol",31,30.8069950745134,1.00626497082951,"Gol",5.6,129,129,1.02803410061351,0.954931792712024,1.1067111902742
"130",3042,"Hemsedal",10,14.7776858524551,0.676695938717539,"Hemsedal",5.4,130,130,1.02443183861747,0.952793248960272,1.10041280510827
"131",3043,"Ã…l",30,31.1326902913992,0.963617333394664,"Ål",6.4,131,131,1.04611707852699,0.974520861446417,1.12224595705113
"132",3044,"Hol",29,29.3901550565692,0.986724974542726,"Hol",4,132,132,1.02047570169126,0.949437533225466,1.09768681253537
"133",3045,"Sigdal",26,22.9293029268787,1.13392021043613,"Sigdal",5.5,133,133,1.03388488697755,0.967982032396195,1.10514042753713
"134",3046,"KrÃ¸dsherad",17,14.0552630098191,1.20951134020926,"Krødsherad",7.3,134,134,1.05067741847286,0.973121373831068,1.13435081269036
"135",3047,"Modum",88,88.0549620930293,0.999375820604281,"Modum",8.3,135,135,1.05955898426243,0.993079795841087,1.12814312664113
"136",3048,"Ã˜vre Eiker",112,117.633488524808,0.952109823525128,"Øvre Eiker",8.4,136,136,1.06894811727882,1.00198575997238,1.13556060689455
"137",3049,"Lier",157,158.145307367632,0.992757879530567,"Lier",3.1,137,137,0.982395048801632,0.922958262573206,1.04626673573564
"138",3050,"Flesberg",20,17.2887881583576,1.15681907932522,"Flesberg",6.3,138,138,1.0563626544439,0.985697056536428,1.13222231655197
"139",3051,"Rollag",12,9.80308426724844,1.22410454433115,"Rollag",0,139,139,0.963863784458728,0.887184126024416,1.05014112908028
"140",3052,"Nore og Uvdal",16,16.7246004283859,0.956674574589175,"Nore og Uvdal",8,140,140,1.07833779498883,1.01170365137634,1.14742415623559
"141",3053,"Jevnaker",45,42.2757939929185,1.06443890817374,"Jevnaker",4.5,141,141,0.979444024504551,0.90178548514152,1.0638319021126
"142",3054,"Lunner",56,53.8822185601366,1.03930390203774,"Lunner",5.7,142,142,0.976740523565049,0.912887331396067,1.04875165443941
"143",3401,"Kongsvinger",130,117.073143794532,1.11041692216068,"Kongsvinger",12.4,143,143,1.10299766757739,1.0110685180719,1.19979018413318
"144",3403,"Hamar",208,202.966391671605,1.02480020601903,"Hamar",4.4,144,144,1.00032035272129,0.932995179315074,1.07291112186102
"145",3405,"Lillehammer",191,181.086539610925,1.05474432506344,"Lillehammer",3.2,145,145,0.993369698647129,0.928994914304603,1.06420017649938
"146",3407,"GjÃ¸vik",198,191.852778088939,1.03204134947794,"Gjøvik",7.5,146,146,1.03579464277773,0.973192745488834,1.10168935025494
"147",3411,"Ringsaker",231,218.138028173302,1.0589625382351,"Ringsaker",9.9,147,147,1.07642410514578,1.01377413894809,1.14094040502378
"148",3412,"LÃ¸ten",56,48.6327644541247,1.15148708136517,"Løten",7.8,148,148,1.05149844540792,0.976379260388757,1.13253706457338
"149",3413,"Stange",134,131.031435909369,1.02265535800649,"Stange",6.4,149,149,1.01605845350257,0.955632960867629,1.08083773645025
"150",3414,"Nord-Odal",39,33.9434682176244,1.14896921404602,"Nord-Odal",14.4,150,150,1.13117630366244,1.04495158056469,1.2215301423264
"151",3415,"SÃ¸r-Odal",56,48.3153277900601,1.15905246971171,"Sør-Odal",8.8,151,151,1.04522157915666,0.967141345136929,1.12944683802594
"152",3416,"Eidskog",52,41.9705026984202,1.23896538418057,"Eidskog",13.7,152,152,1.11878932692721,1.02662690233288,1.21611403650763
"153",3417,"Grue",43,33.0366680884474,1.30158404246089,"Grue",17.4,153,153,1.19435979541789,1.08613009753645,1.30849913949164
"154",3418,"Ã…snes",67,50.9566520920315,1.31484305285585,"Åsnes",11.7,154,154,1.11103648431393,1.02500831683808,1.20381697776506
"155",3419,"VÃ¥ler",31,25.3800259097179,1.22143295323155,"Våler (Innlandet)",19.7,155,155,1.24640899820884,1.12954838244712,1.36864796332799
"156",3420,"Elverum",138,132.921591833797,1.03820604384992,"Elverum",7.8,156,156,1.04816305223516,0.9718860693421,1.12913951645012
"157",3421,"Trysil",50,46.4325447231003,1.07683092318489,"Trysil",6.2,157,157,1.02898662955658,0.95490732611814,1.10911829240143
"158",3422,"Ã…mot",29,28.4399526645332,1.01969227382594,"Åmot",9.3,158,158,1.07283529387978,1.00032194105001,1.14886112014095
"159",3423,"Stor-Elvdal",21,17.6951535745593,1.18676562548698,"Stor-Elvdal",7.9,159,159,1.05837427768743,0.990110277813225,1.13115614186941
"160",3424,"Rendalen",15,13.3818754248954,1.12091911811511,"Rendalen",13.2,160,160,1.14113691214111,1.05344722070842,1.23242221001828
"161",3425,"Engerdal",13,9.11966163149953,1.4254914848044,"Engerdal",0,161,161,0.943719581386299,0.868259523555386,1.02830764233269
"162",3426,"Tolga",10,10.2027145576407,0.980131311476423,"Tolga",0,162,162,0.940741879758817,0.862382204138328,1.02801009047136
"163",3427,"Tynset",34,35.804754934128,0.94959454582364,"Tynset",5,163,163,1.01086804850197,0.944668034564087,1.08136708773502
"164",3428,"Alvdal",16,15.6714857885792,1.02096254406587,"Alvdal",5.1,164,164,1.01538640298758,0.937716377245851,1.09972891967402
"165",3429,"Folldal",11,11.1097271863793,0.990123323053886,"Folldal",0,165,165,0.945845618131049,0.878006351956308,1.02078147980628
"166",3430,"Os",13,12.7392309637393,1.02046976281402,"Os",0,166,166,0.938242438225119,0.866452061489071,1.01767575816133
"167",3431,"Dovre",19,18.4615951992825,1.02916350374416,"Dovre",10.6,167,167,1.10835586089527,1.02387478361307,1.1969301924878
"168",3432,"Lesja",15,13.3116508646785,1.1268324381765,"Lesja",7.7,168,168,1.06787814353998,0.99729800637054,1.14202070462974
"169",3433,"SkjÃ¥k",15,15.6484649907315,0.958560472792983,"Skjåk",0,169,169,0.952333308259614,0.884373025406809,1.02634190657062
"170",3434,"Lom",16,15.2784435186826,1.04722709354753,"Lom",5.3,170,170,1.03012056824897,0.956598847486701,1.10903401278432
"171",3435,"VÃ¥gÃ¥",29,24.6009298043436,1.17881723295189,"Vågå",9,171,171,1.08703667080241,1.01251699887069,1.16583915362428
"172",3436,"Nord-Fron",42,39.2585926317814,1.06982948660262,"Nord-Fron",10.4,172,172,1.10440353453796,1.01684089283075,1.1969495302284
"173",3437,"Sel",47,39.2518627453305,1.19739540273388,"Sel",8.3,173,173,1.07632478376513,0.997596902887741,1.16102413684341
"174",3438,"SÃ¸r-Fron",23,20.753507290779,1.10824641241334,"Sør-Fron",8.1,174,174,1.06615778341748,0.993912535344056,1.14283508796315
"175",3439,"Ringebu",31,30.3641497167091,1.02094082295152,"Ringebu",6.2,175,175,1.03311905527048,0.954844161292823,1.11760235265963
"176",3440,"Ã˜yer",35,32.9975671236651,1.06068425798879,"Øyer",5.5,176,176,1.0215651724064,0.949665005677571,1.0994347270035
"177",3441,"Gausdal",43,40.645587008269,1.05792542721186,"Gausdal",8.3,177,177,1.06613392734455,0.995906149376715,1.14024134669568
"178",3442,"Ã˜stre Toten",100,97.7665056013726,1.02284519002586,"Østre Toten",9.6,178,178,1.05267898611392,0.984305963530719,1.12397975939407
"179",3443,"Vestre Toten",81,85.6645077332631,0.945549121139094,"Vestre Toten",9.3,179,179,1.04313245738975,0.970609785324198,1.117758405821
"180",3446,"Gran",94,88.0362483695161,1.06774200106134,"Gran",7,180,180,1.01266607624239,0.949632542089213,1.08188905132951
"181",3447,"SÃ¸ndre Land",43,36.5315547507267,1.17706460328368,"Søndre Land",18.4,181,181,1.21339594950969,1.10898127694846,1.32190046669709
"182",3448,"Nordre Land",52,43.3021180728383,1.20086504573589,"Nordre Land",10.3,182,182,1.0962981891164,1.02343441483142,1.17370047400084
"183",3449,"SÃ¸r-Aurdal",22,21.0010609223823,1.0475661244596,"Sør-Aurdal",4.3,183,183,1.00273047074002,0.93976026800032,1.07149131471783
"184",3450,"Etnedal",13,9.31115737135518,1.39617444765708,"Etnedal",11.8,184,184,1.12500169266707,1.02712283906325,1.22955079962561
"185",3451,"Nord-Aurdal",44,41.4132631436187,1.06246155603365,"Nord-Aurdal",11.2,185,185,1.1124577868408,1.0362384112092,1.19139208289785
"186",3452,"Vestre Slidre",15,14.0587726190933,1.06694947037044,"Vestre Slidre",8.5,186,186,1.0743094800848,0.990789171491824,1.16328051596109
"187",3453,"Ã˜ystre Slidre",22,20.6055487292948,1.0676735809866,"Øystre Slidre",8.3,187,187,1.07065262075604,0.998377409041425,1.14691479256339
"188",3454,"Vang",11,10.486601248091,1.04895759262349,"Vang",8.2,188,188,1.07420150047069,1.00255863791646,1.14941199065913
"189",3801,"Horten",205,172.972609253149,1.18515874209875,"Horten",6.5,189,189,1.11154916092329,1.02400320536577,1.2071518238305
"190",3802,"Holmestrand",159,150.919135270274,1.05354433495298,"Holmestrand",7.1,190,190,1.08056402861496,1.01364589471778,1.14926598100024
"191",3803,"TÃ¸nsberg",356,342.19701671152,1.04033636359874,"Tønsberg",4.4,191,191,1.05982221850382,0.994638043285693,1.12738945298268
"192",3804,"Sandefjord",441,392.651526089529,1.12313328918387,"Sandefjord",7.2,192,192,1.1134028719342,1.03912284820239,1.19178699465482
"193",3805,"Larvik",350,300.042935270339,1.16649972006389,"Larvik",6.4,193,193,1.09855766113682,1.03590576762756,1.16637206995895
"194",3806,"Porsgrunn",250,227.97424734399,1.0966150910141,"Porsgrunn",7.7,194,194,1.09573999629106,1.01955373676757,1.17621710046833
"195",3807,"Skien",353,340.037903385778,1.03811956398142,"Skien",8.2,195,195,1.08269190536834,1.01986888799223,1.14590225001211
"196",3808,"Notodden",97,85.3441511694288,1.13657466470586,"Notodden",8.5,196,196,1.0972492130335,1.02432770930603,1.17469690947425
"197",3811,"FÃ¦rder",198,171.069005300242,1.15742766874977,"Færder",4.1,197,197,1.09709715340168,0.994142773262507,1.21081979502319
